,"HPV Vaccination Up-To-Date, Males and Females - Age",,,,,,"HPV Vaccination Up-To-Date, Males and Females - Poverty",,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Males and Females - Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Males and Females - Urbanicity",,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Female - Age",,,,,,"HPV Vaccination Up-To-Date, Female - Poverty",,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Female - Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Female - Urbanicity",,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Male - Age",,,,,,"HPV Vaccination Up-To-Date, Male - Poverty",,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Male - Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"HPV Vaccination Up-To-Date, Male - Urbanicity",,,,,,,,,,,,,,,,,
,13-17 Years,,,,,,Living At or Above Poverty,,,,,,Living Below Poverty,,,,,,Unknown Poverty Status,,,,,,American Indian or Alaska Native only non-Hispanic,,,,,,Asian only non-Hispanic,,,,,,Black only non-Hispanic,,,,,,Hispanic,,,,,,White only non-Hispanic,,,,,,Living In A Non MSA,,,,,,Living In An MSA Central City,,,,,,Living In An MSA Non Central City,,,,,,13-17 Years,,,,,,Living At or Above Poverty,,,,,,Living Below Poverty,,,,,,Unknown Poverty Status,,,,,,American Indian or Alaska Native only non-Hispanic,,,,Asian only non-Hispanic,,,,Black only non-Hispanic,,,,,,Hispanic,,,,,,White only non-Hispanic,,,,,,Living In A Non MSA,,,,,,Living In An MSA Central City,,,,,,Living In An MSA Non Central City,,,,,,13-17 Years,,,,,,Living At or Above Poverty,,,,,,Living Below Poverty,,,,,,Unknown Poverty Status,,,,,,American Indian or Alaska Native only non-Hispanic,,,,Asian only non-Hispanic,,,,,,Black only non-Hispanic,,,,,,Hispanic,,,,,,White only non-Hispanic,,,,,,Living In A Non MSA,,,,,,Living In An MSA Central City,,,,,,Living In An MSA Non Central City,,,,,
Names,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,CI,SAMPLE SIZE,TARGET,2018,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET,2018,LL,UL,CI,SAMPLE SIZE,TARGET
Alabama,50.2,43.4,56.9,(±6.8),327,NaN,49.0,41.4,56.6,(±7.7),258,NaN,48.7,34.0,63.7,(±15.3),58,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,57.2,41.3,71.7,(±15.6),45,NaN,NA,NaN,NaN,NA,NA,NaN,44.2,36.8,52.0,(±7.7),238,NaN,30.9,20.2,44.1,(±12.1),82,NaN,60.7,50.0,70.4,(±10.4),124,NaN,50.2,39.4,61.1,(±11.0),121,NaN,52.0,42.4,61.4,(±9.6),155,NaN,48.4,37.8,59.1,(±10.8),126,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,45.2,34.5,56.4,(±11.1),115,NaN,48.2,29.0,68.0,(±20.6),34,NaN,56.1,41.6,69.6,(±14.4),64,NaN,48.5,32.8,64.5,(±16.4),57,NaN,48.4,39.1,57.8,(±9.5),172,NaN,49.6,38.9,60.4,(±10.9),132,NaN,40.2,22.3,61.0,(±20.4),32,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,43.2,33.2,53.9,(±10.5),123,NaN,NA,NaN,NaN,NA,NA,NaN,66.2,50.7,78.9,(±14.5),60,NaN,51.9,37.4,66.1,(±14.8),64,NaN
Alaska,44.1,38.3,50.0,(±5.9),392,NaN,44.8,38.7,51.1,(±6.3),348,NaN,38.6,23.0,57.1,(±17.7),38,NaN,NA,NaN,NaN,NA,NA,NaN,47.7,32.2,63.6,(±16.3),47,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,48.5,28.9,68.6,(±21.0),30,NaN,40.2,33.1,47.8,(±7.4),238,NaN,39.9,30.2,50.6,(±10.3),119,NaN,49.5,41.4,57.7,(±8.2),207,NaN,34.7,22.6,49.2,(±13.6),66,NaN,45.3,37.0,53.9,(±8.5),193,NaN,45.2,36.4,54.3,(±9.1),172,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,42.4,31.8,53.7,(±11.1),112,NaN,41.1,27.9,55.8,(±14.3),63,NaN,51.0,39.0,63.0,(±12.2),99,NaN,NA,NaN,NaN,NA,NA,NaN,42.9,35.1,51.1,(±8.1),199,NaN,44.5,36.1,53.2,(±8.6),176,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,38.2,28.9,48.5,(±9.9),126,NaN,38.6,25.1,54.1,(±14.9),56,NaN,48.2,37.4,59.1,(±11.1),108,NaN,34.3,19.3,53.3,(±17.6),35,NaN
Arizona,50.7,43.8,57.6,(±6.9),288,NaN,40.5,33.1,48.3,(±7.6),224,NaN,71.7,55.7,83.7,(±14.3),55,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,64.4,53.1,74.3,(±10.8),105,NaN,39.5,30.8,49.0,(±9.2),143,NaN,NA,NaN,NaN,NA,NA,NaN,57.1,47.4,66.4,(±9.6),144,NaN,40.4,30.8,50.8,(±10.2),121,NaN,51.0,41.0,60.9,(±10.1),135,NaN,41.3,31.1,52.3,(±10.7),109,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,61.2,45.2,75.1,(±15.4),51,NaN,41.0,28.6,54.7,(±13.3),68,NaN,NA,NaN,NaN,NA,NA,NaN,54.6,40.3,68.2,(±14.3),68,NaN,40.6,27.1,55.7,(±14.7),55,NaN,50.4,40.9,59.8,(±9.6),153,NaN,39.6,29.4,50.9,(±11.0),115,NaN,71.7,50.2,86.5,(±18.7),33,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,68.0,51.6,80.8,(±15.0),54,NaN,38.2,26.4,51.6,(±12.9),75,NaN,NA,NaN,NaN,NA,NA,NaN,59.7,46.7,71.5,(±12.6),76,NaN,40.2,27.2,54.7,(±14.1),66,NaN
Arkansas,42.6,36.0,49.5,(±6.8),308,NaN,45.2,37.3,53.3,(±8.1),219,NaN,33.3,21.9,47.0,(±12.7),78,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,34.1,20.4,51.2,(±15.8),44,NaN,43.0,35.3,51.0,(±7.9),219,NaN,33.0,23.2,44.5,(±10.8),114,NaN,49.2,37.7,60.8,(±11.8),104,NaN,45.5,33.4,58.2,(±12.7),90,NaN,46.4,37.0,56.1,(±9.7),155,NaN,48.0,36.5,59.6,(±11.8),105,NaN,40.5,24.6,58.7,(±17.7),43,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,44.7,33.9,56.1,(±11.3),104,NaN,39.4,24.4,56.6,(±16.7),53,NaN,49.3,33.7,65.0,(±16.2),55,NaN,50.2,33.1,67.3,(±17.8),47,NaN,39.0,30.0,48.8,(±9.5),153,NaN,43.0,32.4,54.2,(±11.1),114,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,41.7,31.4,52.9,(±10.9),115,NaN,27.6,16.1,43.0,(±13.6),61,NaN,49.2,32.8,65.8,(±17.2),49,NaN,41.3,25.2,59.6,(±17.9),43,NaN
California,52.6,45.4,59.8,(±7.2),356,NaN,49.6,41.0,58.1,(±8.6),270,NaN,59.6,44.4,73.1,(±14.7),68,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,53.3,43.2,63.2,(±10.1),151,NaN,45.9,33.2,59.2,(±13.3),133,NaN,NA,NaN,NaN,NA,NA,NaN,54.7,44.6,64.4,(±10.0),184,NaN,49.9,39.5,60.3,(±10.5),168,NaN,50.1,40.1,60.0,(±10.1),179,NaN,51.8,39.9,63.5,(±12.0),136,NaN,40.4,23.2,60.4,(±19.5),34,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,45.3,32.6,58.6,(±13.3),78,NaN,54.2,35.5,71.9,(±19.1),69,NaN,NA,NaN,NaN,NA,NA,NaN,46.2,32.4,60.7,(±14.6),86,NaN,53.9,40.0,67.3,(±14.0),89,NaN,55.1,44.7,65.0,(±10.3),177,NaN,47.5,35.5,59.8,(±12.4),134,NaN,78.9,60.2,90.2,(±15.1),34,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,62.5,46.9,75.8,(±14.8),73,NaN,38.6,22.5,57.6,(±18.3),64,NaN,NA,NaN,NaN,NA,NA,NaN,62.0,48.3,74.0,(±13.1),98,NaN,45.6,30.7,61.4,(±15.8),79,NaN
Colorado,62.5,55.0,69.4,(±7.3),278,NaN,62.8,54.9,70.0,(±7.6),246,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,70.1,54.5,82.1,(±14.0),66,NaN,59.3,50.1,68.0,(±9.0),178,NaN,NA,NaN,NaN,NA,NA,NaN,68.8,58.9,77.2,(±9.2),152,NaN,54.1,41.7,65.9,(±12.3),100,NaN,59.0,48.0,69.2,(±10.8),131,NaN,57.9,46.0,68.8,(±11.6),116,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,52.7,39.5,65.6,(±13.4),86,NaN,NA,NaN,NaN,NA,NA,NaN,63.0,48.5,75.5,(±13.8),72,NaN,51.7,33.9,69.1,(±18.4),46,NaN,65.8,55.6,74.8,(±9.7),147,NaN,67.3,56.9,76.3,(±9.8),130,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,72.5,52.9,86.1,(±17.0),38,NaN,66.4,53.9,77.0,(±11.7),92,NaN,NA,NaN,NaN,NA,NA,NaN,74.2,60.4,84.5,(±12.2),80,NaN,56.5,40.0,71.7,(±16.4),54,NaN
Connecticut,53.1,46.2,59.9,(±6.9),293,NaN,50.8,43.5,58.1,(±7.3),247,NaN,79.7,58.6,91.6,(±16.5),33,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,60.6,44.5,74.6,(±15.5),54,NaN,47.9,39.8,56.2,(±8.3),201,NaN,NA,NaN,NaN,NA,NA,NaN,57.5,44.8,69.2,(±12.5),85,NaN,52.5,44.1,60.8,(±8.4),199,NaN,54.7,44.9,64.2,(±9.7),139,NaN,48.4,37.9,59.0,(±10.7),112,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,51.2,39.4,62.9,(±12.0),94,NaN,NA,NaN,NaN,NA,NA,NaN,58.8,41.6,74.2,(±16.9),41,NaN,53.1,41.2,64.7,(±12.0),94,NaN,51.6,41.9,61.1,(±9.7),154,NaN,53.1,43.0,62.9,(±10.1),135,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,44.9,34.1,56.3,(±11.3),107,NaN,NA,NaN,NaN,NA,NA,NaN,56.4,38.5,72.7,(±17.8),44,NaN,51.9,40.2,63.4,(±11.8),105,NaN
Delaware,58.4,51.3,65.2,(±7.0),306,NaN,61.2,53.1,68.6,(±7.8),230,NaN,48.7,34.3,63.4,(±15.0),69,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,61.9,44.4,76.7,(±16.7),42,NaN,61.7,45.4,75.6,(±15.6),67,NaN,56.9,47.8,65.5,(±8.9),172,NaN,NA,NaN,NaN,NA,NA,NaN,56.1,43.9,67.6,(±12.0),102,NaN,59.7,51.1,67.9,(±8.5),204,NaN,63.9,53.7,73.0,(±9.8),157,NaN,65.3,53.6,75.5,(±11.1),118,NaN,64.6,43.0,81.6,(±20.2),36,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,60.5,39.2,78.4,(±20.7),34,NaN,65.8,51.8,77.4,(±13.1),82,NaN,NA,NaN,NaN,NA,NA,NaN,59.4,41.8,74.9,(±17.2),50,NaN,66.4,53.8,77.0,(±11.8),107,NaN,53.1,43.3,62.7,(±9.8),149,NaN,56.9,45.7,67.4,(±11.0),112,NaN,35.4,19.1,56.0,(±19.3),33,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,62.6,39.0,81.4,(±22.5),33,NaN,49.5,37.6,61.5,(±12.2),90,NaN,NA,NaN,NaN,NA,NA,NaN,53.1,36.5,69.0,(±16.8),52,NaN,53.1,41.1,64.7,(±12.1),97,NaN
District of Columbia,71.3,63.6,78.0,(±7.2),283,NaN,69.5,60.2,77.4,(±8.7),207,NaN,77.1,61.1,87.8,(±13.5),63,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,70.0,58.8,79.3,(±10.3),98,NaN,81.4,68.0,90.0,(±11.0),76,NaN,70.6,56.4,81.6,(±12.8),85,NaN,NA,NaN,NaN,NA,NA,NaN,71.3,63.6,78.0,(±7.2),283,NaN,NA,NaN,NaN,NA,NA,NaN,73.5,62.8,82.0,(±9.6),134,NaN,71.1,58.4,81.2,(±11.6),101,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,76.7,60.4,87.7,(±13.8),44,NaN,82.3,60.5,93.4,(±16.2),36,NaN,63.7,44.8,79.2,(±17.9),44,NaN,NA,NaN,NaN,NA,NA,NaN,73.5,62.8,82.0,(±9.6),134,NaN,NA,NaN,NaN,NA,NA,NaN,69.2,57.7,78.6,(±10.6),149,NaN,67.7,53.7,79.1,(±13.0),106,NaN,74.7,51.0,89.3,(±19.7),34,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,64.0,48.3,77.2,(±14.8),54,NaN,80.6,61.5,91.5,(±14.9),40,NaN,81.6,63.4,91.9,(±14.1),41,NaN,NA,NaN,NaN,NA,NA,NaN,69.2,57.7,78.6,(±10.6),149,NaN,NA,NaN,NaN,NA,NA,NaN
Florida,46.5,39.7,53.5,(±6.9),337,NaN,46.5,38.8,54.4,(±7.8),269,NaN,49.3,33.9,64.8,(±15.9),55,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,45.4,27.4,64.7,(±19.6),31,NaN,53.6,41.0,65.7,(±12.6),92,NaN,42.0,33.5,51.0,(±8.9),184,NaN,NA,NaN,NaN,NA,NA,NaN,42.8,33.8,52.2,(±9.3),184,NaN,52.0,41.7,62.1,(±10.3),146,NaN,52.9,42.8,62.7,(±10.1),160,NaN,54.8,43.4,65.7,(±11.3),127,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,63.9,44.4,79.7,(±18.3),39,NaN,40.7,28.7,53.9,(±12.9),86,NaN,NA,NaN,NaN,NA,NA,NaN,50.2,37.4,62.9,(±13.0),95,NaN,58.0,42.0,72.6,(±15.8),62,NaN,40.5,31.7,49.9,(±9.2),177,NaN,38.6,29.0,49.2,(±10.2),142,NaN,48.2,28.3,68.7,(±21.4),31,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,45.0,29.5,61.6,(±16.6),53,NaN,43.2,31.7,55.6,(±12.2),98,NaN,NA,NaN,NaN,NA,NA,NaN,34.6,23.3,48.1,(±12.6),89,NaN,47.0,34.2,60.1,(±13.2),84,NaN
Georgia,49.6,43.1,56.1,(±6.6),345,NaN,48.0,41.0,55.1,(±7.1),290,NaN,56.0,39.3,71.4,(±16.6),48,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,47.7,35.3,60.5,(±12.9),79,NaN,62.1,44.3,77.1,(±17.0),51,NaN,47.0,38.4,55.7,(±8.8),186,NaN,45.7,27.7,64.9,(±19.6),43,NaN,61.4,49.4,72.1,(±11.5),105,NaN,44.1,35.8,52.7,(±8.6),197,NaN,53.7,44.4,62.7,(±9.3),167,NaN,47.9,38.0,58.0,(±10.1),138,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,49.0,37.3,60.8,(±12.0),94,NaN,NA,NaN,NaN,NA,NA,NaN,65.1,46.4,80.1,(±17.4),44,NaN,49.2,37.4,61.0,(±12.0),97,NaN,45.6,36.7,54.8,(±9.1),178,NaN,48.1,38.3,58.0,(±10.0),152,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,NaN,NaN,NA,NA,NaN,41.0,26.4,57.4,(±16.0),50,NaN,NA,NaN,NaN,NA,NA,NaN,44.5,32.4,57.3,(±12.7),92,NaN,NA,NaN,NaN,NA,NA,NaN,58.4,42.7,72.6,(±15.4),61,NaN,39.1,28.1,51.4,(±11.9),100,NaN
